occurrenceID,eventID,materialSampleID,basisOfRecord,scientificName,taxonRank,eventDate,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,occurrenceStatus,organismQuantity,organismQuantityType,verbatimIdentification,candidateTaxonRank,publicationStage,publicationBucket,identificationRemarks
urn:ecogenesis:demo:COMP100-001-species_safe,competition-event-01,competition-sample-001,MaterialSample,Aedes albopictus,species,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-013-species_safe,competition-event-02,competition-sample-013,MaterialSample,Aedes albopictus,species,2026-06-13,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-014-species_safe,competition-event-02,competition-sample-014,MaterialSample,Aedes albopictus,species,2026-06-14,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-015-species_safe,competition-event-02,competition-sample-015,MaterialSample,Aedes albopictus,species,2026-06-15,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-016-species_safe,competition-event-02,competition-sample-016,MaterialSample,Aedes albopictus,species,2026-06-16,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-017-species_safe,competition-event-02,competition-sample-017,MaterialSample,Aedes albopictus,species,2026-06-17,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-018-species_safe,competition-event-02,competition-sample-018,MaterialSample,Aedes albopictus,species,2026-06-18,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-019-species_safe,competition-event-02,competition-sample-019,MaterialSample,Aedes albopictus,species,2026-06-19,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-020-species_safe,competition-event-02,competition-sample-020,MaterialSample,Aedes albopictus,species,2026-06-20,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-021-species_safe,competition-event-03,competition-sample-021,MaterialSample,Aedes albopictus,species,2026-06-21,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-022-species_safe,competition-event-03,competition-sample-022,MaterialSample,Aedes albopictus,species,2026-06-22,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-023-species_safe,competition-event-03,competition-sample-023,MaterialSample,Aedes albopictus,species,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-024-species_safe,competition-event-03,competition-sample-024,MaterialSample,Aedes albopictus,species,2026-06-24,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-025-species_safe,competition-event-03,competition-sample-025,MaterialSample,Aedes albopictus,species,2026-06-25,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,publishable_candidate,species-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.6 coverage=96.0; candidate rank=species; published rank=species; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-026-genus_safe_ambiguous,competition-event-03,competition-sample-026,MaterialSample,Aedes,genus,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-027-genus_safe_ambiguous,competition-event-03,competition-sample-027,MaterialSample,Aedes,genus,2026-06-27,US,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-028-genus_safe_ambiguous,competition-event-03,competition-sample-028,MaterialSample,Aedes,genus,2026-06-28,ES,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-029-genus_safe_ambiguous,competition-event-03,competition-sample-029,MaterialSample,Aedes,genus,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-030-genus_safe_ambiguous,competition-event-03,competition-sample-030,MaterialSample,Aedes,genus,2026-06-02,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-031-genus_safe_ambiguous,competition-event-04,competition-sample-031,MaterialSample,Aedes,genus,2026-06-03,US,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-032-genus_safe_ambiguous,competition-event-04,competition-sample-032,MaterialSample,Aedes,genus,2026-06-04,ES,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-033-genus_safe_ambiguous,competition-event-04,competition-sample-033,MaterialSample,Aedes,genus,2026-06-05,IT,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-034-genus_safe_ambiguous,competition-event-04,competition-sample-034,MaterialSample,Aedes,genus,2026-06-06,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-035-genus_safe_ambiguous,competition-event-04,competition-sample-035,MaterialSample,Aedes,genus,2026-06-07,US,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-036-genus_safe_ambiguous,competition-event-04,competition-sample-036,MaterialSample,Aedes,genus,2026-06-08,ES,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-037-genus_safe_ambiguous,competition-event-04,competition-sample-037,MaterialSample,Aedes,genus,2026-06-09,IT,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-038-genus_safe_ambiguous,competition-event-04,competition-sample-038,MaterialSample,Aedes,genus,2026-06-10,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-039-genus_safe_ambiguous,competition-event-04,competition-sample-039,MaterialSample,Aedes,genus,2026-06-11,US,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-040-genus_safe_ambiguous,competition-event-04,competition-sample-040,MaterialSample,Aedes,genus,2026-06-12,ES,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-041-genus_safe_ambiguous,competition-event-05,competition-sample-041,MaterialSample,Aedes,genus,2026-06-13,IT,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-042-genus_safe_ambiguous,competition-event-05,competition-sample-042,MaterialSample,Aedes,genus,2026-06-14,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-043-genus_safe_ambiguous,competition-event-05,competition-sample-043,MaterialSample,Aedes,genus,2026-06-15,US,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-044-genus_safe_ambiguous,competition-event-05,competition-sample-044,MaterialSample,Aedes,genus,2026-06-16,ES,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-045-genus_safe_ambiguous,competition-event-05,competition-sample-045,MaterialSample,Aedes,genus,2026-06-17,IT,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-046-genus_safe_ambiguous,competition-event-05,competition-sample-046,MaterialSample,Aedes,genus,2026-06-18,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-047-genus_safe_ambiguous,competition-event-05,competition-sample-047,MaterialSample,Aedes,genus,2026-06-19,US,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-048-genus_safe_ambiguous,competition-event-05,competition-sample-048,MaterialSample,Aedes,genus,2026-06-20,ES,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-049-genus_safe_ambiguous,competition-event-05,competition-sample-049,MaterialSample,Aedes,genus,2026-06-21,IT,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-050-genus_safe_ambiguous,competition-event-05,competition-sample-050,MaterialSample,Aedes,genus,2026-06-22,FR,40.4168,-3.7038,WGS84,50,,,,Aedes,genus,record_recommended_ready,publishable_candidate,genus-safe by barcode-gbif-compiler-v2; match=exact; top=Aedes albopictus identity=99.4 coverage=96.0; candidate rank=genus; published rank=genus; publication stage=record_recommended_ready; export state=dwc_template_ready.
urn:ecogenesis:demo:COMP100-051-weak_coverage,competition-event-06,competition-sample-051,MaterialSample,,,2026-06-23,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-052-weak_coverage,competition-event-06,competition-sample-052,MaterialSample,,,2026-06-24,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-053-weak_coverage,competition-event-06,competition-sample-053,MaterialSample,,,2026-06-25,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-054-weak_coverage,competition-event-06,competition-sample-054,MaterialSample,,,2026-06-26,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-055-weak_coverage,competition-event-06,competition-sample-055,MaterialSample,,,2026-06-27,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-056-weak_coverage,competition-event-06,competition-sample-056,MaterialSample,,,2026-06-28,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-057-weak_coverage,competition-event-06,competition-sample-057,MaterialSample,,,2026-06-01,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-058-weak_coverage,competition-event-06,competition-sample-058,MaterialSample,,,2026-06-02,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-059-weak_coverage,competition-event-06,competition-sample-059,MaterialSample,,,2026-06-03,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-060-weak_coverage,competition-event-06,competition-sample-060,MaterialSample,,,2026-06-04,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-061-weak_coverage,competition-event-07,competition-sample-061,MaterialSample,,,2026-06-05,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-062-weak_coverage,competition-event-07,competition-sample-062,MaterialSample,,,2026-06-06,FR,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-063-weak_coverage,competition-event-07,competition-sample-063,MaterialSample,,,2026-06-07,US,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-064-weak_coverage,competition-event-07,competition-sample-064,MaterialSample,,,2026-06-08,ES,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
urn:ecogenesis:demo:COMP100-065-weak_coverage,competition-event-07,competition-sample-065,MaterialSample,,,2026-06-09,IT,40.4168,-3.7038,WGS84,50,,,,Aedes albopictus,species,record_recommended_ready,repair_required,weak by barcode-gbif-compiler-v2; match=weak; top=Aedes albopictus identity=99.5 coverage=72.0; candidate rank=species; published rank=none; publication stage=record_recommended_ready; export state=review_only.
